new_id,person_id,trip_id,new_trip_id,home_municipality,origin_municipality,dest_municipality,origin_postcode,dest_postcode,amsterdam_neighborhood,trip_purpose,mode_detailed,mode_class,mode_role,n_legs,month,weekday,is_holiday,departure_hour,departure_minute,travel_time_min,distance_hm,age,gender,income_decile,has_driving_license,n_cars_household,weight_trip,weight_person,distance_km,n_transfers,has_transfer,is_peak,chosen_mode,city,age_band,income_quintile
1.0,270038673969.0,27003867396901.0,1.0,363.0,363.0,363.0,1068,1018,0363FK,1.0,4.0,4.0,4.0,2.0,7.0,5.0,0.0,7.0,30.0,50.0,102.0,40.0,2.0,8.0,1.0,0.0,221250.4060699533,606.1654960820638,10.2,1,1,1,pt,Amsterdam,7,4
0.0,270038673969.0,27003867396902.0,1.0,363.0,363.0,363.0,1018,1068,0363FK,1.0,4.0,4.0,4.0,1.0,7.0,5.0,0.0,17.0,20.0,45.0,110.0,40.0,2.0,8.0,1.0,0.0,221250.4060699533,606.1654960820638,11.0,0,0,1,pt,Amsterdam,7,4
1.0,270081980969.0,27008198096901.0,1.0,363.0,363.0,394.0,1062,1117,0363FM,1.0,1.0,1.0,1.0,1.0,10.0,6.0,0.0,5.0,30.0,20.0,132.0,61.0,1.0,4.0,1.0,3.0,133191.10371269032,364.90713345942555,13.2,0,0,0,car,Amsterdam,9,2
0.0,270081980969.0,27008198096902.0,1.0,363.0,394.0,363.0,1117,1062,0363FM,1.0,1.0,1.0,1.0,1.0,10.0,6.0,0.0,14.0,0.0,25.0,132.0,61.0,1.0,4.0,1.0,3.0,133191.10371269032,364.90713345942555,13.2,0,0,0,car,Amsterdam,9,2
0.0,270156171969.0,27015617196903.0,1.0,363.0,363.0,363.0,1104,1093,0363TG,1.0,3.0,4.0,4.0,3.0,8.0,4.0,0.0,11.0,15.0,35.0,93.0,22.0,2.0,1.0,0.0,0.0,112778.55306101948,308.98233715347806,9.3,2,1,0,pt,Amsterdam,5,1
1.0,270191985969.0,27019198596901.0,1.0,363.0,363.0,363.0,1053,1082,0363EP,1.0,7.0,5.0,4.0,1.0,4.0,3.0,0.0,8.0,30.0,15.0,30.0,26.0,2.0,8.0,1.0,0.0,92285.36922305576,252.83662800837197,3.0,0,0,1,bike,Amsterdam,5,4
0.0,270191985969.0,27019198596902.0,1.0,363.0,363.0,363.0,1082,1053,0363EP,1.0,7.0,5.0,4.0,1.0,4.0,3.0,0.0,17.0,45.0,30.0,30.0,26.0,2.0,8.0,1.0,0.0,92285.36922305576,252.83662800837197,3.0,0,0,1,bike,Amsterdam,5,4
1.0,270191988969.0,27019198896901.0,1.0,363.0,363.0,363.0,1019,1015,0363MA,1.0,8.0,5.0,4.0,1.0,2.0,5.0,0.0,8.0,30.0,25.0,60.0,31.0,2.0,5.0,0.0,1.0,202112.56180656303,553.7330460453782,6.0,0,0,1,bike,Amsterdam,6,3
0.0,270191988969.0,27019198896902.0,1.0,363.0,363.0,363.0,1015,1019,0363MA,1.0,8.0,5.0,4.0,1.0,2.0,5.0,0.0,17.0,30.0,20.0,60.0,31.0,2.0,5.0,0.0,1.0,202112.56180656303,553.7330460453782,6.0,0,0,1,bike,Amsterdam,6,3
1.0,270202987969.0,27020298796901.0,1.0,363.0,363.0,363.0,1097,1082,0363MP,1.0,8.0,5.0,4.0,1.0,2.0,3.0,0.0,6.0,15.0,30.0,78.0,56.0,1.0,3.0,0.0,0.0,262258.3478821851,718.5160215950276,7.8,0,0,0,bike,Amsterdam,8,2
